Tensao,Corrente
12.21,39.53
12.21,87.55
12.21,31.28
12.21,28.67
12.21,29.39
12.16,72.53
12.21,97.71
12.21,32.16
12.21,42.70
12.18,67.38
12.21,35.00
12.18,58.41
12.21,50.07
12.21,108.04
12.21,44.79
12.21,30.96
12.21,29.54
12.21,30.01
12.21,31.01
12.21,31.67
12.21,49.10
12.16,29.40
12.11,352.36
12.11,185.34
12.18,44.89
12.18,31.85
12.21,29.98
12.18,29.64
12.18,125.13
12.18,105.87
12.16,74.08
12.18,66.98
12.13,67.17
12.18,29.05
12.18,29.61
12.18,162.69
12.11,177.20
12.18,29.07
12.18,90.97
12.21,29.74
12.18,75.96
12.18,169.82
12.13,203.97
12.01,88.66
12.18,29.00
12.18,28.65
12.08,113.03
12.18,49.42
12.18,32.43
12.18,29.31
12.18,28.61
12.18,187.11
12.18,106.44
12.18,32.39
12.21,30.44
12.18,28.51
12.18,41.51
12.18,41.10
12.18,51.05
12.18,31.79
12.18,36.63
12.18,66.60
12.18,29.36
12.18,29.09
12.18,29.03
12.21,32.05
12.21,28.90
12.21,29.61
12.21,29.59
12.21,28.96
12.21,30.54
12.21,33.04
12.21,30.14
12.21,28.58
12.21,28.62
12.21,29.30
12.21,32.21
12.21,31.94
12.21,28.61
12.21,29.58
12.21,29.77
12.21,28.71
12.21,31.91
12.21,31.33
12.18,29.55
12.18,29.85
12.18,28.65
12.18,29.53
12.18,32.44
12.18,29.10
12.18,28.78
12.18,29.32
12.18,28.78
12.18,29.55
12.18,32.85
12.18,28.70
12.21,29.39
12.18,29.57
12.18,28.83
12.18,31.56
12.18,32.73
12.18,28.90
12.18,28.34
12.21,29.58
12.13,187.73
12.13,205.87
12.13,200.84
12.13,194.96
12.16,97.92
12.16,97.93
12.16,98.53
12.16,101.43
12.16,98.70
12.16,104.38
12.13,137.94
12.16,155.50
12.13,154.09
12.13,157.57
12.13,155.32
12.16,153.38
12.13,152.03
12.13,152.37
12.13,154.52
12.13,155.33
12.13,149.26
12.13,155.25
12.13,153.81
12.13,149.93
12.13,150.16
12.13,158.54
12.13,155.55
12.13,148.95
12.13,149.08
12.11,190.31
12.13,189.31
