Tensao,Corrente
11.89,28.53
11.89,28.64
11.89,28.20
11.89,29.84
11.89,31.75
11.89,29.01
11.89,29.27
11.89,28.91
11.89,29.04
11.89,28.16
11.89,31.62
11.89,30.53
11.89,28.48
11.89,28.70
11.89,28.32
11.89,28.19
11.89,29.35
11.86,30.78
11.86,28.27
11.89,28.56
11.89,28.34
11.86,29.21
11.86,28.47
11.86,31.62
11.89,30.56
11.86,29.36
11.89,28.85
11.86,28.96
11.86,28.90
11.86,31.25
11.86,31.84
11.89,28.74
11.89,29.21
11.89,29.23
11.89,29.00
11.86,28.85
11.86,31.99
11.89,30.51
11.89,29.36
11.89,28.19
11.89,28.89
11.86,28.29
11.86,33.04
11.86,31.99
11.89,29.38
11.89,29.25
11.81,187.06
11.81,173.29
11.81,169.42
11.81,168.12
11.86,87.24
11.84,81.99
11.86,87.32
11.84,82.20
11.84,88.39
11.84,93.37
11.84,96.29
11.84,82.47
11.86,88.82
11.86,82.21
11.84,87.62
11.84,86.81
11.84,86.02
11.86,86.45
11.84,88.05
11.84,94.49
11.84,81.64
11.84,84.00
11.84,87.11
11.84,88.49
11.84,83.58
11.84,85.81
11.84,85.08
11.84,111.96
11.84,97.80
11.84,106.73
11.84,101.22
11.84,110.47
11.84,85.00
11.84,96.48
11.84,92.90
11.84,105.75
11.84,104.25
11.84,112.37
11.86,89.13
11.84,167.59
11.86,98.59
11.84,87.25
11.86,208.42
11.74,507.70
11.84,128.57
11.84,197.65
11.79,362.94
11.84,85.66
11.86,87.45
11.86,97.43
11.86,107.84
11.84,84.26
11.86,90.92
11.86,121.46
11.84,139.60
11.84,167.74
11.79,146.38
11.86,105.06
11.84,100.61
11.86,88.10
11.86,82.93
11.86,85.32
11.84,86.37
11.84,102.67
11.84,100.34
11.81,121.00
11.81,134.56
11.81,151.61
11.81,186.09
11.81,197.85
11.79,219.14
11.79,237.74
11.76,336.97
11.76,330.82
11.74,384.93
11.74,407.75
11.74,404.92
11.74,401.52
11.74,393.68
11.71,427.71
11.67,658.62
11.67,687.63
11.67,797.46
11.64,825.76
11.64,884.50
11.64,867.89
11.64,882.63
11.62,920.23
11.64,932.96
11.62,958.67
11.62,1033.83
11.59,1122.26
11.57,1158.63
11.57,1259.30
11.54,1362.13
11.52,1504.45
11.49,1569.66
11.47,1724.29
11.44,1856.90
11.39,2084.34
11.39,2192.31
11.42,2216.17
11.35,2467.18
11.35,2470.65
11.30,2677.60
11.30,2773.43
11.27,2999.49
11.25,3089.04
11.20,3156.69
11.17,3197.29
11.12,3199.78
11.12,3198.21
11.02,3200.00
11.02,3200.00
11.02,3200.00
10.95,3200.00
10.95,3200.00
10.98,3200.00
10.93,3200.00
10.93,3200.00
10.95,3200.00
10.93,3200.00
10.93,3200.00
10.95,3200.00
10.95,3200.00
10.93,3200.00
10.90,3200.00
10.90,3200.00
10.95,3200.00
10.93,3200.00
10.95,3200.00
10.93,3200.00
10.95,3200.00
10.90,3200.00
10.88,3200.00
10.93,3200.00
10.93,3200.00
10.93,3200.00
10.93,3200.00
10.90,3200.00
10.93,3200.00
10.93,3200.00
10.90,3200.00
10.90,3200.00
10.88,3200.00
10.90,3200.00
10.85,3200.00
10.88,3200.00
10.85,3200.00
10.90,3200.00
10.88,3200.00
10.90,3200.00
10.90,3200.00
10.90,3200.00
10.88,3200.00
10.90,3200.00
10.88,3200.00
10.88,3200.00
10.90,3200.00
10.88,3200.00
10.88,3200.00
10.90,3200.00
10.85,3200.00
10.88,3200.00
10.88,3200.00
10.90,3200.00
10.88,3200.00
10.90,3200.00
10.90,3200.00
10.90,3200.00
10.93,3200.00
10.93,3200.00
10.90,3200.00
10.90,3200.00
10.95,3200.00
10.95,3200.00
10.95,3200.00
10.98,3200.00
10.98,3200.00
11.00,3200.00
10.98,3200.00
11.00,3200.00
11.07,3199.08
11.05,3200.00
11.05,3200.00
11.07,3199.96
11.10,3186.97
11.10,3194.66
11.10,3177.47
11.12,3143.80
11.12,3139.32
11.15,3089.38
11.20,2938.49
11.15,2837.23
11.20,2655.24
11.20,2699.74
11.20,2654.16
11.22,2475.44
11.25,2416.51
11.25,2299.04
11.25,2310.12
11.25,2260.11
11.25,2212.38
11.25,2279.16
11.27,2027.61
11.27,2058.92
11.27,2073.40
11.27,2127.15
11.27,2148.20
11.20,2179.43
11.27,2036.22
11.27,2190.96
11.22,2144.61
11.30,2144.86
11.27,2112.03
11.27,2057.88
11.27,2099.68
11.32,2200.68
11.30,1893.90
11.32,1799.91
11.30,1751.94
11.35,1708.16
11.35,1602.40
11.35,1654.84
11.35,1667.04
11.35,1655.78
11.35,1577.94
11.30,1665.82
11.32,1660.50
11.35,1704.24
11.35,1761.60
11.35,1612.14
11.32,1597.35
11.35,1699.19
11.35,1695.19
11.30,1711.05
11.35,1612.53
11.32,1663.27
11.35,1584.32
11.35,1631.47
11.37,1682.81
11.35,1680.30
11.32,1695.14
11.35,1661.36
11.35,1565.77
11.35,1559.13
11.35,1611.04
11.35,1551.60
11.27,1659.99
11.32,1540.98
11.35,1544.98
11.35,1497.37
11.35,1448.75
11.37,1419.64
11.37,1553.12
11.35,1592.98
11.30,1595.72
11.35,1571.17
11.37,1501.92
11.35,1655.64
11.35,1513.12
11.32,1582.55
11.32,1619.92
11.37,1461.37
11.37,1524.78
11.35,1461.83
11.37,1482.31
11.37,1585.26
11.37,1490.45
11.35,1513.75
11.35,1583.67
11.37,1480.89
11.35,1502.00
11.35,1502.34
11.27,1502.84
11.37,1640.51
11.32,1536.55
11.35,1451.14
11.35,1550.57
11.37,1451.57
11.37,1512.50
11.32,1519.09
11.35,1529.81
11.35,1450.01
11.35,1590.72
11.37,1545.43
11.37,1534.59
11.37,1501.89
11.37,1459.45
11.35,1506.08
11.30,1622.99
11.35,1824.26
11.27,1773.06
11.37,1575.20
11.32,1816.89
11.37,1498.06
11.35,1532.33
11.32,1654.13
11.30,2015.02
11.35,1594.56
11.37,1522.91
11.37,1539.61
11.32,1564.26
11.37,1622.29
11.30,1676.80
11.35,1706.27
11.22,1772.57
11.37,1517.36
11.37,1526.45
11.37,1448.95
11.37,1448.81
11.37,1502.04
11.35,1629.74
11.37,1415.38
11.35,1569.71
11.30,1543.69
11.35,1577.84
11.37,1547.17
11.37,1566.43
11.25,1843.00
11.35,1545.80
11.37,1504.04
11.35,1488.20
11.37,1479.99
11.32,1459.30
11.35,1571.39
11.32,1486.18
11.35,1480.39
11.35,1467.97
11.30,1584.67
11.37,1524.09
11.35,1474.98
11.37,1570.05
11.32,1636.28
11.35,1556.10
11.35,1511.99
11.30,1591.37
11.35,1499.81
11.32,1710.36
11.32,1590.14
11.35,1485.76
11.37,1526.03
11.35,1615.87
11.30,1551.44
11.35,1574.21
11.25,1652.56
11.35,1860.23
11.30,1496.00
11.35,1522.31
11.32,1571.04
11.32,1557.22
11.35,1728.08
11.35,1750.03
11.35,1530.01
11.32,1485.97
11.35,1678.27
11.25,1654.73
11.27,1952.35
11.35,1495.00
11.35,1501.69
11.32,1594.89
11.35,1572.97
11.22,1917.19
11.32,1873.51
11.35,1477.07
11.35,1562.92
11.35,1572.87
11.22,1676.00
11.30,2017.70
11.22,1815.45
11.37,1505.05
11.32,1462.44
11.30,1556.95
11.37,1759.94
11.22,2107.07
11.25,2025.34
11.32,1616.46
11.35,1516.57
11.35,1524.00
11.32,1645.68
11.35,1679.10
11.30,1440.50
11.35,1456.32
11.30,1590.77
11.35,1730.92
11.25,1877.56
11.35,1488.05
11.32,1450.81
11.32,1612.51
11.27,1783.74
11.27,1646.19
11.32,1471.26
11.25,1501.78
11.35,1617.30
11.25,1620.20
11.32,1512.75
11.35,1441.32
11.35,1565.90
11.30,1687.34
11.32,1456.27
11.37,1462.02
11.32,1539.25
11.35,1747.95
11.30,1500.84
11.35,1508.57
11.27,1540.58
11.35,1590.80
11.22,1695.68
11.35,1419.93
11.35,1476.34
11.25,1558.78
11.35,1772.05
11.25,1840.22
11.35,1461.88
11.32,1455.05
11.32,1401.91
11.32,1413.26
11.25,1495.38
11.35,1539.35
11.27,1621.04
11.35,1443.03
11.32,1617.19
11.32,1539.78
11.35,1437.45
11.35,1590.13
11.32,1573.98
11.32,1702.59
11.32,1553.99
11.30,1420.97
11.32,1558.40
11.25,1578.12
11.35,1776.49
11.32,1607.65
11.35,1505.38
11.32,1569.73
11.35,1579.04
11.27,1760.80
11.32,1693.68
11.25,1880.07
11.22,1872.27
11.35,1426.71
11.25,1602.21
11.35,1529.64
11.27,1670.75
11.32,1960.04
11.25,2021.30
11.20,1738.34
11.35,1752.19
11.22,2011.13
11.35,1903.40
11.32,1559.26
11.35,1517.25
11.35,1511.09
11.35,1522.89
11.35,1537.46
11.35,1662.74
11.35,1528.87
11.35,1440.64
11.30,1598.21
11.35,1720.54
11.30,1515.55
11.35,1452.10
11.35,1398.87
11.37,1481.18
11.35,1570.09
11.35,1623.98
11.32,1714.52
11.37,1457.88
11.35,1437.85
11.32,1470.23
11.35,1541.60
11.27,1561.65
11.35,1514.51
11.25,1769.86
11.35,1711.06
11.32,1472.70
11.32,1507.56
11.32,1483.55
11.30,1569.61
11.32,1739.63
11.25,1602.81
11.35,1449.50
11.35,1457.98
11.35,1456.48
11.35,1407.40
11.32,1401.71
11.32,1448.72
11.35,1402.79
11.35,1358.61
11.32,1370.69
11.35,1402.40
11.32,1406.93
11.35,1409.03
11.35,1385.30
11.35,1367.24
11.32,1391.90
11.32,1362.31
11.32,1365.52
11.32,1384.65
11.35,1381.20
11.35,1400.89
11.32,1382.75
11.32,1400.99
11.35,1416.09
11.32,1388.22
11.32,1394.35
11.32,1356.02
11.32,1361.11
11.32,1391.17
11.35,1390.87
11.35,1415.92
11.35,1386.29
11.32,1365.71
11.35,1437.43
11.32,1419.27
11.32,1466.78
11.32,1445.04
11.32,1406.94
11.32,1449.82
11.32,1460.30
11.32,1467.53
11.32,1452.96
11.32,1414.05
11.30,1464.88
11.32,1414.45
11.35,1438.92
11.35,1436.81
11.35,1450.90
11.32,1462.79
11.32,1464.06
11.32,1433.06
11.32,1456.40
11.32,1418.74
11.32,1420.47
11.32,1444.76
11.35,1456.29
11.32,1471.35
11.32,1455.92
11.32,1466.61
11.32,1438.28
11.32,1426.40
11.32,1457.91
11.32,1426.42
11.30,1479.64
11.35,1504.74
11.32,1493.37
11.32,1459.17
11.32,1453.05
11.30,1592.24
11.30,1603.99
11.30,1569.69
11.30,1566.25
11.30,1580.04
11.27,1598.67
11.30,1604.70
11.27,1640.98
11.30,1731.23
11.30,1674.37
11.30,1685.54
11.27,1734.51
11.27,1683.17
11.27,1651.48
11.25,1706.41
11.27,1665.80
11.27,1725.65
11.27,1662.19
11.27,1740.26
11.27,1683.28
11.30,1736.45
11.27,1772.81
11.30,1811.54
11.27,1726.19
11.27,1694.34
11.27,1715.75
11.27,1690.44
11.27,1740.37
11.27,1733.86
11.30,1687.54
11.27,1704.87
11.25,1634.95
11.27,1684.72
11.27,1690.05
11.30,1720.78
11.27,1703.32
11.27,1705.80
11.27,1711.94
11.27,1629.10
11.27,1709.30
11.27,1821.84
11.25,1700.53
11.25,1820.59
11.22,1791.56
11.25,1684.63
11.25,1714.05
11.27,1838.48
11.25,1853.21
11.27,1811.63
11.27,1887.80
11.27,1839.09
11.27,1846.23
11.27,1695.28
11.25,1813.41
11.27,1743.93
11.27,1775.55
11.27,1805.59
11.25,1794.63
11.25,1712.77
11.27,1846.96
11.27,1773.94
11.27,1657.57
11.27,1724.11
11.27,1655.24
11.27,1707.78
11.22,1832.71
11.25,1773.57
11.22,1742.69
11.27,1742.40
11.27,1734.41
11.25,1765.28
11.25,1754.40
11.27,1701.58
11.27,1697.49
11.25,1696.15
11.27,1693.47
11.27,1731.17
11.27,1742.63
11.25,1703.57
11.22,1810.23
11.25,1832.66
11.22,1853.43
11.27,1722.57
11.27,1685.88
11.25,1679.56
11.27,1749.93
11.27,1700.02
11.27,1672.34
11.25,1730.25
11.25,1633.68
11.27,1631.33
11.25,1712.16
11.25,1817.56
11.27,1749.95
11.22,1826.45
11.25,1706.67
11.25,1825.71
11.27,1717.60
11.27,1683.77
11.27,1778.53
11.25,1782.59
11.27,1777.03
11.25,1798.26
11.25,1652.31
11.27,1657.31
11.27,1727.23
11.22,1674.22
11.27,1801.09
11.22,1732.22
11.27,1826.98
11.25,1703.01
11.27,1657.88
11.27,1690.68
11.27,1656.56
11.27,1667.74
11.27,1674.67
11.27,1674.67
11.25,1728.62
11.25,1741.27
11.25,1857.92
11.25,1758.96
11.25,1814.76
11.22,1796.84
11.25,1688.06
11.27,1668.17
11.25,1701.60
11.22,1767.26
11.27,1819.70
11.25,1924.26
11.27,1707.33
11.25,1701.26
11.20,1761.12
11.25,1794.67
11.15,1810.02
11.25,1797.95
11.25,1764.14
11.25,1804.04
11.25,1871.87
11.25,1786.82
11.25,1701.66
11.25,1736.94
11.27,1650.97
11.27,1642.13
11.27,1652.69
11.22,1796.02
11.22,1781.82
11.25,1791.97
11.27,1774.90
11.25,1815.54
11.25,1789.80
11.25,1776.81
11.17,1773.01
11.25,1678.43
11.25,1680.05
11.25,1682.54
11.25,1658.89
11.27,1718.03
11.25,1664.94
11.25,1687.21
11.22,1650.45
11.25,1752.31
11.25,1751.42
11.25,1736.12
11.22,1839.26
11.25,1745.87
11.25,1736.77
11.25,1651.72
11.27,1663.33
11.22,1795.11
11.25,1829.32
11.15,1905.28
11.27,1802.56
